medcodeid,observations,originalreadcode,cleansedreadcode,smokstatus,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
482811000000118,20000,745H1,745H100,current or ex-smoker,Nicotine replacement therapy using nicotine gum,280801000000101,482811000000118,,32
489931000000114,20000,745Hz,745Hz00,current smoker,Smoking cessation therapy NOS,710081004,3043296015,,32
649851000006112,20000,EGTON1027,,ex-smoker,Ex- Rolled Tobacco Smoker,649851000006108,649851000006112,,17
904121000006117,20000,EMISQCO3,,current smoker,Carbon monoxide validation confirms smoker,904121000006101,904121000006117,,17
904221000006110,20000,EMISQSM15,,current smoker,Smoking cessation bupropion therapy,904221000006106,904221000006110,,32
904241000006115,20000,EMISQSM14,,current smoker,Smoking cessation counselling in person,904241000006104,904241000006115,,17
909391000006117,20000,HNGZ011,,ex-smoker,[RFC] Smoking cessation,909391000006101,909391000006117,,12
1009271000006118,20000,ASDFGNO1,,non-smoker,Non Smoker - Nos,1009271000006102,1009271000006118,,17
1059701000000119,20000,137l,137l.00,ex-smoker,Ex roll-up cigarette smoker,492191000000103,1059701000000119,,17
1123541000000118,20000,8HBM,8HBM.00,current smoker,Stop smoking face to face follow-up,505581000000108,1123541000000118,,40
285793015,10000,9OO3,9OO3.00,current smoker,Stop smoking monitor default,185791003,285793015,,37
459484017,10000,8I39,8I39.00,current smoker,Nicotine replacement therapy refused,315022003,459484017,,32
128321000006116,10000,9OO5,9OO5.00,current smoker,Stop smoking monitoring second letter,185793000,285795010,,37
137711000006111,10000,EMISSMRE1,,current smoker,Smoker (Read codes),137711000006107,137711000006111,,17
137791000006118,10000,137Q-1,137Q.11,current smoker,Smoking restarted,308438006,2670126018,,17
482851000000119,10000,745H3,745H300,current or ex-smoker,Nicotine replacement therapy using nicotine lozenge,790131000000109,1766451000000111,,32
852121000006114,10000,EMISQSM17,,ex-smoker,Smoking cessation-maintain abstinence,852121000006105,852121000006114,,17
854071000006119,10000,EGTON326,,current smoker,Current smoker,854071000006103,854071000006119,,17
903041000006110,10000,137F-99,137F.99,ex-smoker,EX-Smoker NOS,266928006,903041000006110,,17
904071000006117,10000,EMISQSM2,,current or ex-smoker,Smoking cessation 4 week follow up,904071000006101,904071000006117,,37
904191000006115,10000,EMISQSM10,,current or ex-smoker,Smoking cessation motivation score,904191000006104,904191000006115,,3
904231000006113,10000,EMISQSM13,,current or ex-smoker,Smoking cessation counselling by telephone,904231000006109,904231000006113,,17
1716141000000117,10000,13p8,13p8.00,current or ex-smoker,Lost to smoking cessation follow-up,768971000000109,1716141000000117,,17
1925121000006113,10000,8B2B0,8B2B000,current or ex-smoker,Issue of nicotine replacement therapy voucher,784481000000108,1754091000000110,,32
1979491000006115,10000,EMISNQSM20,,current or ex-smoker,Smoking cessation follow-up,1979491000006104,1979491000006115,,40
78013015,9000,H3101,H310100,current or ex-smoker,Smokers' cough,46802002,78013015,,32
344795016,8000,137a,137a.00,current smoker,Pipe tobacco consumption,230058003,344795016,,17
1785681000006118,7000,9OOB1,9OOB100,current smoker,Stop smoking invitation second short message service text message,783441000000103,1751861000000114,,37
854151000006111,6000,EGTON328,,ex-smoker,Date stopped smoking,854151000006107,854151000006111,,17
1123751000000113,6000,9kn,9kn..00,non-smoker,Non-smoker annual review - enhanced services administration,505681000000109,1154431000000112,,37
128331000006118,5000,9OO6,9OO6.00,current smoker,Stop smoking monitoring third letter,185794006,285796011,,37
854951000006113,5000,EGTONGR10,,non-smoker,Grade A non-smoker,854951000006109,854951000006113,,3
150398019,4000,E023,E023.00,current smoker,Nicotine withdrawal,90755006,150398019,,32
1488870013,4000,8I2I,8I2I.00,current smoker,Nicotine replacement therapy contraindicated,395174005,1488870013,,32
854961000006110,4000,EGTONGR11,,current smoker,Grade B light smoker (1-10/day),854961000006106,854961000006110,,3
854981000006117,4000,EGTONGR12,,current smoker,Grade C moderate smoker (11-20/day),854981000006101,854981000006117,,3
904141000006112,4000,EMISQSM4,,current or ex-smoker,Smoking cessation 4 week F/U not completed,904141000006108,904141000006112,,37
460828018,2000,ZV4K0,ZV4K000,current smoker,Tobacco user,110483000,175325014,,32
2982426011,2000,ESCTPR3,,current smoker,Provision of smoking cessation leaflet,699033005,2982426011,,37
852111000006118,2000,EMISQGR1,,current smoker,Gradual smoking reduction,852111000006102,852111000006118,,17
855001000006114,2000,EGTONGR13,,current smoker,Grade D heavy smoker (>20 Day),855001000006105,855001000006114,,3
904161000006111,2000,EMISQSM6,,current or ex-smoker,Smoking cessation 52 week F/U completed,904161000006107,904161000006111,,37
1591651000006110,2000,EMISNQSM5,,current smoker,Smoking cessation referral declined,1591651000006106,1591651000006110,,32
1676351000006110,2000,EMISNQNI3,,current or ex-smoker,Nicotine replacement therapy using nicotine sublingual tablets,1676351000006106,1676351000006110,,32
1694421000006112,2000,9OO-z366,,current or ex-smoker,Stop smoking monitoring admin.,714001000000108,1694421000006112,,37
2203381000000113,2000,8HBP,8HBP.00,current or ex-smoker,Smoking cessation 12 week follow-up,850331000000104,2203381000000113,,40
2462431000000110,2000,8B31G,8B31G00,current smoker,Varenicline smoking cessation therapy offered,966991000000104,2462431000000110,,32
295256013,1000,E2510,E251000,current smoker,"Tobacco dependence, unspecified",89765005,148820017,,32
854111000006110,1000,EGTON327,,ex-smoker,Past smoker,854111000006106,854111000006110,,17
904081000006119,1000,EMISQSM3,,current or ex-smoker,Smoking cessation 52 week follow up,904081000006103,904081000006119,,37
1771191000006119,1000,EMISNQAT12,,current or ex-smoker,Attends smoking cessation clinic not at practice,201941000000100,307621000000118,,37
1825081000006118,1000,EMISNQSM17,,current or ex-smoker,Smoking cessation 12 week F/U completed,1825081000006102,1825081000006118,,37
