"searchterms","exclusionterms","searched_in_column","searchmethod"
"Recurrent major depressive episodes, in partial remission",,,
"Recurrent reactive depressive episodes, severe, with psychosis",,,
"[X]Recurrent severe episodes/reactive depressive psychosis",,,
"Postnatal depression",,,
"Agitated depression",,,
"Presenile dementia with depression",,,
"Senile dementia with depressive or paranoid features",,,
"Senile dementia with depression",,,
"Senile dementia with depressive or paranoid features NOS",,,
"Arteriosclerotic dementia with depression",,,
"Single major depressive episode, unspecified",,,
"Single major depressive episode, mild",,,
"Single major depressive episode, moderate",,,
"Single major depressive episode, severe, with psychosis",,,
"Single major depressive episode NOS",,,
"Atypical depressive disorder",,,
"Reactive depressive psychosis",,,
"Psychotic reactive depression",,,
"Brief depressive reaction NOS",,,
"Depressive disorder NEC",,,
"Postviral depression",,,
"[X]Mild depressive episode",,,
"[X]Moderate depressive episode",,,
"[X]Persistent mood affective disorders",,,
"[X]Other persistent mood affective disorders",,,
"[X]Persistent mood affective disorder, unspecified",,,
"[X]Other mood affective disorders",,,
"[X]Other specified mood affective disorders",,,
"Masked depression",,,
"Loss of hope for the future",,,
"Seasonal affective disorder",,,
"Single major depressive episode",,,
"[X]Severe depressive episode without psychotic symptoms",,,
"[X]Severe depressive episode with psychotic symptoms",,,
"[X]Other depressive episodes",,,
"[X]Depressive episode, unspecified",,,
"[X]Other single mood affective disorders",,,
"[X]Unspecified mood affective disorder",,,
"Endogenous depression",,,
"[D]Postoperative depression",,,
"Adjustment reaction with anxious mood",,,
"Puerperal depression",,,
"[X]Right hemispheric organic affective disorder",,,
"Depressed mood",,,
"Depressed",,,
"On depression register",,,
"Single major depressive episode, severe, without psychosis",,,
"Prolonged depressive reaction",,,
"[X]Mild depression",,,
"[X]Single episode major depression w'out psychotic symptoms",,,
"Referral for guided self-help for depression",,,
"[X] Reactive depression NOS",,,
"[X] Senile dementia, depressed or paranoid type",,,
"[X]Atypical depression",,,
"[X]Depression NOS",,,
"[X]Depressive conduct disorder",,,
"[X]Depressive disorder NOS",,,
"[X]Depressive episode",,,
"[X]Depressive neurosis",,,
"[X]Dysthymia",,,
"[X]Endogenous depression with psychotic symptoms",,,
"[X]Endogenous depression without psychotic symptoms",,,
"[X]Mild anxiety depression",,,
"[X]Mixed anxiety and depressive disorder",,,
"[X]Monopolar depression NOS",,,
"[X]Mood - affective disorders",,,
"[X]Neurotic depression",,,
"[X]Organic mood [affective] disorders",,,
"[X]Other unspec antidepres caus advers effect in therap use",,,
"[X]Persistant anxiety depression",,,
"[X]Prolonged single episode of reactive depression",,,
"[X]Recurr depress disorder cur epi severe without psyc sympt",,,
"[X]Recurr severe episodes/major depression+psychotic symptom",,,
"[X]Recurr severe episodes/psychogenic depressive psychosis",,,
"[X]SAD - Seasonal affective disorder",,,
"[X]Seasonal depressive disorder",,,
"[X]Single episode agitated depressn w'out psychotic symptoms",,,
"[X]Single episode of depressive reaction",,,
"[X]Single episode of major depression and psychotic symptoms",,,
"[X]Single episode of masked depression NOS",,,
"[X]Single episode of psychogenic depression",,,
"[X]Single episode of psychogenic depressive psychosis",,,
"[X]Single episode of psychotic depression",,,
"[X]Single episode of reactive depression",,,
"[X]Single episode of reactive depressive psychosis",,,
"[X]Single episode vital depression w'out psychotic symptoms",,,
"[X]Tricyc/tetracyc antidepres caus advers eff therapeut use",,,
"Agitated depression",,,
"Anxiety with depression",,,
"Brief depressive reaction",,,
"Depressive psychoses",,,
"Neurotic depression reactive type",,,
"On full dose long term treatment for depression",,,
"Reactive (neurotic) depression",,,
"Depression",,,
"Depression NOS",,,
"Mild depression",,,
"Moderate depression",,,
"Severe depression",,,
"[RFC] Depression",,,
"Geriatric depression scale - 5 points",,,
"Geriatric depression scale - <6 points",,,
"Geriatric depression scale - 6 points",,,
"Geriatric depression scale - 7 points",,,
"Geriatric depression scale - 8 points",,,
"Geriatric depression scale - 9 points",,,
"Geriatric depression scale - 10 points",,,
"Geriatric depression scale - 11 points",,,
"Geriatric depression scale - 12 points",,,
"Geriatric depression scale - 13 points",,,
"Geriatric depression scale - 14 points",,,
"Geriatric depression scale - 15 points",,,
"Sad mood",,,
"On full dose long term treatment depression - enh serv admin",,,
"Major depression",,,
"Adjustment disorder with depressed mood",,,
"Depression confirmed",,,
"PHQ9 total score 5-9 (mild depression)",,,
"PHQ9 total score 10-14 (moderate depression)",,,
"PHQ9 total score 15-19 (moderately severe depression)",,,
"PHQ9 total score 20-27 (severe depression)",,,
"Unspecified dementia, other symptoms, predominantly depressive",,,
"Organic depressive disorder",,,
"Organic mixed affective disorder",,,
"Dementia in Alzheimer's disease with early onset, other symptoms, predominantly depressive",,,
"Dementia in Alzheimer's disease with late onset, other symptoms, predominantly depressive",,,
"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive",,,
"Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly depressive",,,
"Vascular dementia of acute onset, other symptoms, predominantly depressive",,,
"Multi-infarct dementia, other symptoms, predominantly depressive",,,
"Subcortical vascular dementia, other symptoms, predominantly depressive",,,
"Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive",,,
"Other vascular dementia, other symptoms, predominantly depressive",,,
"Vascular dementia, unspecified, other symptoms, predominantly depressive",,,
"Mild depressive episode, without somatic syndrome",,,
"Mild depressive episode, with somatic syndrome",,,
"Moderate depressive episode, without somatic syndrome",,,
"Moderate depressive episode, with somatic syndrome",,,
"Other single mood affective disorders, mixed affective episode",,,
"Mixed anxiety and depressive reaction",,,
"Referral for depression self-help video",,,
"Referral for guided self-help for depression declined",,,
"Signposting to depression self-help group",,,
"Moderate major depression, single episode",,,
"Organic affective disorder",,,
"Depressive illness",,,
"Depressed",,,
"Mood disorder of depressed type",,,
"Major depression, single episode",,,
"Major depressive disorder, single episode",,,
"Psychotic depression",,,
"Mild major depression, single episode",,,
"Postoperative depression",,,
"Right hemispheric organic affective disorder",,,
"Anxiety depression",,,
"Depressive conduct disorder",,,
"Mild depression",,,
"Moderate depression",,,
"Severe depression",,,
"Severe major depression, single episode",,,
"psychotic symptoms",,,
"Single major depressive episode, moderate",,,
"Depressive disorder NEC",,,
"Patient given advice about management of depression",,,
"Depression interim review",,,
"Depression medication review",,,
"Depression annual review",,,
"Depression - enhanced services administration",,,
"Depression - enhanced service completed",,,
"Depressive disorder",,,
"depressive episode",,,
"depressive reaction",,,
"depressive adjustment reaction",,,
"depress disorder",,,
