prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
1105241000033119,790611000001105,Polytar Plus liquid (GlaxoSmithKline Consumer Healthcare UK Ltd),Polytar Plus liquid,Shampoo,Cutaneous,Arachis oil extract of crude coal tar/ Cade oil/ Coal tar solution/ Pine tar,3.000mg/1.000gram + 3.000mg/1.000gram + 1.000mg/1.000gram + 3.000mg/1.000gram,,300000
1107341000033119,,Polytar  Shampoo  ,,,,,,,40
1107441000033113,8411000001105,Polytar AF liquid (GlaxoSmithKline UK Ltd),Polytar AF liquid,Shampoo,Cutaneous,Arachis oil extract of crude coal tar/ Cade oil/ Coal tar solution/ Pine tar/ Pyrithione zinc,3.000mg/1.000gram + 3.000mg/1.000gram + 1.000mg/1.000gram + 3.000mg/1.000gram + 10.000mg/1.000gram,,200000
1141741000033118,3820111000001101,Psoriderm Emulsion 40% bath additive (Dermal Laboratories Ltd),Psoriderm Emulsion 40% bath additive,Bath additive,Cutaneous,Coal tar distilled,400.000mg/1.000ml,,20000
1142141000033113,3760911000001109,Psoriderm cream (Dermal Laboratories Ltd),Psoriderm cream,Cream,Cutaneous,Coal tar distilled,60.000mg/1.000gram,,40000
1142641000033115,3855311000001107,Psorin ointment (Boston Healthcare Ltd),Psorin ointment,Ointment,Cutaneous,Coal tar/ Dithranol/ Salicylic acid,10.000mg/1.000gram + 1.100mg/1.000gram + 16.000mg/1.000gram,,6000
1142741000033112,3959711000001100,Psorin scalp gel (Boston Healthcare Ltd),Psorin scalp gel,Gel,Cutaneous,Dithranol/ Salicylic acid,2.500mg/1.000gram + 16.000mg/1.000gram,,3000
1142841000033119,3820411000001106,Psoriderm scalp lotion (Dermal Laboratories Ltd),Psoriderm scalp lotion,Shampoo,Cutaneous,Coal tar distilled,25.000mg/1.000ml,,40000
1228241000033119,,Salicylic Acid And Sulfar  Cream  ,,,,,,,3000
1239241000033112,,Salicylic Acid  Gel  6 %,,,,,,,500
1245541000033113,332753005,Salicylic acid 2% lotion,Salicylic acid 2% lotion,Liquid,Cutaneous,Salicylic acid,20.000mg/1.000ml,13050200,4000
1246241000033116,15535011000001100,Salicylic acid 10% ointment,Salicylic acid 10% ointment,Ointment,Cutaneous,Salicylic acid,100.000mg/1.000gram,,6000
1246341000033114,332433007,Salicylic acid 50% ointment,Salicylic acid 50% ointment,Ointment,Cutaneous,Salicylic acid,500.000mg/1.000gram,13070000,60000
1246441000033115,14611611000001100,Salicylic acid 2% ointment,Salicylic acid 2% ointment,Ointment,Cutaneous,Salicylic acid,20.000mg/1.000gram,13050200,50000
1246541000033119,,Salicylic Acid And Sulfur  Ointment  ,,,,,,,5000
1249841000033112,4318111000001109,Salicylic acid powder,Salicylic acid powder,Not applicable,Route of administration not applicable,Salicylic acid,1.000mg/1.000mg,19040000,500
1253941000033116,332430005,Salicylic acid 26% solution,Salicylic acid 26% solution,Liquid,Cutaneous,Salicylic acid,260.000mg/1.000ml,13070000,100000
1254041000033119,332373002,Salicylic acid 2% solution,Salicylic acid 2% solution,Liquid,Cutaneous,Salicylic acid,20.000mg/1.000gram,13060100,10000
1359941000033112,,Sodium Salicylate  Mixture  250 mg/5 ml,,,,,,,20
1403741000033110,261811000001106,Neutrogena T/Gel Therapeutic shampoo (Johnson & Johnson Ltd),Neutrogena T/Gel Therapeutic shampoo,Shampoo,Cutaneous,Coal tar extract,20.000mg/1.000gram,,600000
1552541000033113,,Zinc Paste And Coal Tar  Bandage Bp  7.5 cm x 6 m,,,,,,,1000
1555741000033114,20470411000001104,Zinc and Coal tar paste,Zinc and Coal tar paste, Paste,Cutaneous,Coal tar/ Emulsifying wax/ Starch/ Yellow soft paraffin/ Zinc oxide,60.000mg/1.000gram + 50.000mg/1.000gram + 380.000mg/1.000gram + 450.000mg/1.000gram + 60.000mg/1.000gram,13050200,1000
1555841000033116,14612511000001107,Zinc and Salicylic acid paste,Zinc and Salicylic acid paste, Paste,Cutaneous,Salicylic acid/ Starch/ White soft paraffin/ Zinc oxide,20.000mg/1.000gram + 240.000mg/1.000gram + 500.000mg/1.000gram + 240.000mg/1.000gram,13050200,9000
1609641000033118,16645811000001100,Exorex lotion (Teva UK Ltd),Exorex lotion,Cutaneous emulsion,Cutaneous,Coal tar solution,50.000mg/1.000gram,,200000
1751741000033112,,Salicylic Acid  Ointment  bp,,,,,,,2000
2050741000033117,,Coal Tar  Lotion  1 %,,,,,,,20000
2050841000033110,332723003,Coal tar 4.3% shampoo,Coal tar 4.3% shampoo,Shampoo,Cutaneous,Coal tar,43.000mg/1.000ml,13090000,20000
2050941000033119,39706411000001104,Coal tar 40% bath emulsion,Coal tar 40% bath emulsion,Bath additive,Cutaneous,Coal tar distilled,400.000mg/1.000ml,13050200,10000
2051141000033111,332092005,Coal tar extract 1% cream,,,,,,,3000
2237141000033113,,*Acidum Salicylicum  Liquid  ,,,,,,,1
2735941000033113,7557411000001104,Exorex moisturising cream (Teva UK Ltd),Exorex moisturising cream,Not applicable,,,,,40000
2744641000033116,4276311000001107,Exorex Hair and Body shampoo (Teva UK Ltd),Exorex Hair and Body shampoo,Shampoo,,,,,30000
2744941000033111,4279211000001108,Exorex scalp moisture lotion (Forest Laboratories UK Ltd),Exorex scalp moisture lotion,Liquid,,,,,3000
2888641000033115,8157111000001109,Sebco ointment (Derma UK Ltd),Sebco ointment,Ointment,Cutaneous,Coal tar solution/ Salicylic acid/ Sulfur precipitated,120.000mg/1.000gram + 20.000mg/1.000gram + 40.000mg/1.000gram,,200000
2921541000033110,39694011000001108,Coal tar extract 5% shampoo,Coal tar extract 5% shampoo,Shampoo,Cutaneous,Coal tar extract alcoholic,50.000mg/1.000gram,13090000,70000
3076441000033115,14781011000001100,Salicylic acid 5% ointment,Salicylic acid 5% ointment,Ointment,Cutaneous,Salicylic acid,50.000mg/1.000gram,13050200,4000
3224741000033111,35910711000001107,Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application,Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application,Liquid,Cutaneous,Betamethasone dipropionate/ Salicylic acid,500.000microgram/1.000ml + 20.000mg/1.000ml,13040000,90000
3224841000033118,331828002,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,Ointment,Cutaneous,Betamethasone dipropionate/ Salicylic acid,500.000microgram/1.000gram + 30.000mg/1.000gram,13040000,200000
3229441000033115,347340000,Salicylic acid 2% / Mucopolysaccharide polysulfate 0.2% gel,Salicylic acid 2% / Mucopolysaccharide polysulfate 0.2% gel,Gel,Cutaneous,Mucopolysaccharide polysulfate/ Salicylic acid,2.000mg/1.000gram + 20.000mg/1.000gram,10030200,500000
3231741000033112,3897911000001105,Salicylic acid 26% gel,Salicylic acid 26% gel,Gel,Cutaneous,Salicylic acid,260.000mg/1.000gram,13070000,80000
3257841000033114,332722008,Sulfur 5% / Salicylic acid 3% shampoo,Sulfur 5% / Salicylic acid 3% shampoo,Shampoo,Cutaneous,Salicylic acid/ Sulfur,30.000mg/1.000ml + 50.000mg/1.000ml,13090000,3000
3258441000033112,332453006,Salicylic acid 25% / Podophyllum resin 20% ointment,Salicylic acid 25% / Podophyllum resin 20% ointment,Ointment,Cutaneous,Podophyllum resin/ Salicylic acid,200.000mg/1.000gram + 250.000mg/1.000gram,13070000,8000
3258541000033113,,Coal Tar And Lecithin  Cream  6 % + 0.4 %,,,,,,,8000
3258641000033114,,Coal Tar And Lecithin  Scalp lotion  2.5 % + 0.3 %,,,,,,,7000
3258741000033117,36070511000001100,Dithranol 0.25% / Salicylic acid 1.6% scalp gel,Dithranol 0.25% / Salicylic acid 1.6% scalp gel,Gel,Cutaneous,Dithranol/ Salicylic acid,2.500mg/1.000gram + 16.000mg/1.000gram,13090000,1000
3297741000033114,,Coal Tar  Viscous Liquid  BP,,,,,,,2
3331841000033112,9382711000001109,Tar 2.3% bath additive,Tar 2.3% bath additive,Bath additive,Cutaneous,Tar,23.000mg/1.000ml,13050200,600
3332041000033110,9382611000001100,Tar 2.3% liquid,Tar 2.3% liquid,Liquid,Cutaneous,Tar,23.000mg/1.000ml,13050200,100
3332241000033119,9382811000001101,Tar 1.6% gel,Tar 1.6% gel,Gel,Cutaneous,Tar,16.000mg/1.000gram,13050200,300
3840241000033117,346983006,Salicylic acid 2% / Mucopolysaccharide polysulfate 0.2% cream,Salicylic acid 2% / Mucopolysaccharide polysulfate 0.2% cream,Cream,Transdermal,Mucopolysaccharide polysulfate/ Salicylic acid,2.000mg/1.000gram + 20.000mg/1.000gram,10030200,200000
4372641000033116,11521411000001109,Neutrogena T/Gel shampoo for greasy hair (Johnson & Johnson Ltd),Neutrogena T/Gel shampoo for greasy hair,Not applicable,,,,,30000
4372741000033113,11521111000001104,Neutrogena T/Gel shampoo for dry hair (Johnson & Johnson Ltd),Neutrogena T/Gel shampoo for dry hair,Not applicable,,,,,100000
4519941000033114,8159011000001104,Salicylic acid 40% medicated plasters,Salicylic acid 40% medicated plasters,Medicated plaster,Cutaneous,Salicylic acid,400.000mg/1.000gram,13070000,4000
5011541000033112,15223411000001103,Salicylic acid 10% in Aqueous cream,Salicylic acid 10% in Aqueous cream,Cream,Route of administration not applicable,Salicylic acid,100.000mg/1.000gram,13050200,1000
5093741000033118,15224011000001109,Salicylic acid 2% in Aqueous cream,Salicylic acid 2% in Aqueous cream,Cream,Route of administration not applicable,Salicylic acid,20.000mg/1.000gram,13050200,2000
5292141000033118,15160611000001103,Coal tar 12% in White soft paraffin,Coal tar 12% in White soft paraffin,Ointment,Route of administration not applicable,Coal tar,120.000mg/1.000gram,13050200,300
5404341000033111,15223211000001102,Coal tar solution 5% in Betamethasone valerate 0.025% ointment,Coal tar solution 5% in Betamethasone valerate 0.025% ointment,Ointment,Route of administration not applicable,Betamethasone valerate/ Coal tar solution,237.500microgram/1.000gram + 50.000mg/1.000gram,13040000,4000
5411741000033113,16647011000001104,Coal tar solution 5% cutaneous emulsion,Coal tar solution 5% cutaneous emulsion,Cutaneous emulsion,Cutaneous,Coal tar solution,50.000mg/1.000gram,13050200,40000
5997841000033110,18083511000001106,Coal tar 6% / Salicylic acid 1% in Emulsifying ointment,Coal tar 6% / Salicylic acid 1% in Emulsifying ointment,Ointment,Route of administration not applicable,Coal tar/ Salicylic acid,60.000mg/1.000gram + 10.000mg/1.000gram,13050200,400
6012841000033115,39934611000001108,Salicylic acid 5% in Aqueous cream,Salicylic acid 5% in Aqueous cream,Cream,Route of administration not applicable,Salicylic acid,50.000mg/1.000gram,13050200,400
6045141000033113,14797411000001102,Coal tar 2% in Yellow soft paraffin,Coal tar 2% in Yellow soft paraffin,Ointment,Route of administration not applicable,Coal tar,20.000mg/1.000gram,13050200,300
6097141000033113,16073911000001101,Dithranol 1% in Zinc and Salicylic acid paste,Dithranol 1% in Zinc and Salicylic acid paste, Paste,Route of administration not applicable,Dithranol/ Salicylic acid/ Zinc oxide,10.000mg/1.000gram + 19.800mg/1.000gram + 237.600mg/1.000gram,13050200,40
6111441000033115,15160511000001102,Coal tar 10% in Yellow soft paraffin,Coal tar 10% in Yellow soft paraffin,Ointment,Route of administration not applicable,Coal tar,100.000mg/1.000gram,13050200,400
6111541000033119,14797511000001103,Coal tar 5% in Yellow soft paraffin,Coal tar 5% in Yellow soft paraffin,Ointment,Route of administration not applicable,Coal tar,50.000mg/1.000gram,13050200,400
6124241000033114,15160711000001107,Coal tar 15% in Yellow soft paraffin,Coal tar 15% in Yellow soft paraffin,Ointment,Route of administration not applicable,Coal tar,150.000mg/1.000gram,13050200,30
6124341000033116,15160811000001104,Coal tar 20% in Yellow soft paraffin,Coal tar 20% in Yellow soft paraffin,Ointment,Route of administration not applicable,Coal tar,200.000mg/1.000gram,13050200,90
6311841000033111,19200111000001101,Fluorouracil 0.5% / Salicylic acid 10% cutaneous solution,Fluorouracil 0.5% / Salicylic acid 10% cutaneous solution,Cutaneous solution,Cutaneous,Fluorouracil/ Salicylic acid,5.000mg/g + 100.000mg/g,13080100,8000
6528641000033110,18650211000001102,Coal tar solution strong 5% in Emulsifying ointment,Coal tar solution strong 5% in Emulsifying ointment,Ointment,Route of administration not applicable,Coal tar solution strong,50.000mg/1.000gram,13050200,400
6529141000033111,15224611000001102,Salicylic acid 20% in Emulsifying ointment,Salicylic acid 20% in Emulsifying ointment,Ointment,Route of administration not applicable,Salicylic acid,200.000mg/1.000gram,13070000,600
7688241000033111,17870511000001104,Coal tar solution 6% / Salicylic acid 2% in Emulsifying ointment,Coal tar solution 6% / Salicylic acid 2% in Emulsifying ointment,Ointment,Cutaneous,Coal tar solution/ Salicylic acid,60.000mg/1.000gram + 20.000mg/1.000gram,13050200,500
7727041000033117,20418811000001107,Coal tar solution strong 2.5% in Emulsifying ointment,Coal tar solution strong 2.5% in Emulsifying ointment,Ointment,Route of administration not applicable,Coal tar solution strong,25.000mg/1.000gram,13050200,80
8571241000033111,14615411000001100,Salicylic acid 3% / Sulfur 3% ointment,Salicylic acid 3% / Sulfur 3% ointment,Ointment,Cutaneous,Magnesium sulfate dried/ Phenoxyethanol/ Salicylic acid/ Sulfur precipitated/ Wool alcohols ointment,5.000mg/1.000gram + 10.000mg/1.000gram + 3.000mg/1.000gram + 3.000mg/1.000gram + 500.000mg/1.000gram,13060100,700
8582541000033111,20329711000001108,Salicylic acid 1% in Aqueous cream,Salicylic acid 1% in Aqueous cream,Cream,Cutaneous,Salicylic acid,10.000mg/1.000gram,13050200,80
8961841000033111,15225411000001104,Salicylic acid 5% in Emulsifying ointment,Salicylic acid 5% in Emulsifying ointment,Ointment,Route of administration not applicable,Salicylic acid,50.000mg/1.000gram,13050200,400
9117941000033110,15226711000001102,Coal tar solution 5% in White soft paraffin,Coal tar solution 5% in White soft paraffin,Ointment,Route of administration not applicable,Coal tar solution,50.000mg/1.000gram,13050200,60
9119041000033117,15224511000001101,Salicylic acid 20% in White soft paraffin,Salicylic acid 20% in White soft paraffin,Ointment,Route of administration not applicable,Salicylic acid,200.000mg/1.000gram,13070000,200
9200741000033114,15222011000001103,Coal tar solution 10% in Betamethasone valerate 0.025% ointment,Coal tar solution 10% in Betamethasone valerate 0.025% ointment,Ointment,Route of administration not applicable,Betamethasone valerate/ Coal tar solution,225.000microgram/1.000gram + 100.000mg/1.000gram,13040000,200
9258341000033115,15221811000001100,Coal tar 5% in Clobetasone 0.05% ointment,Coal tar 5% in Clobetasone 0.05% ointment,Ointment,Route of administration not applicable,Clobetasone butyrate/ Coal tar,475.000microgram/1.000gram + 50.000mg/1.000gram,13040000,900
9309341000033114,20285811000001104,Salicylic acid 5% in Yellow soft paraffin,Salicylic acid 5% in Yellow soft paraffin,Ointment,Cutaneous,Salicylic acid,50.000mg/1.000gram,13050200,70
9400241000033116,25747511000001103,Coal tar solution strong 1% in Emulsifying ointment,Coal tar solution strong 1% in Emulsifying ointment,Ointment,Route of administration not applicable,Coal tar solution strong,10.000mg/1.000gram,13050200,80
9951641000033117,15225311000001106,Salicylic acid 5% cream,Salicylic acid 5% cream,Cream,Route of administration not applicable,Salicylic acid,50.000mg/1.000gram,13050200,100
10252341000033115,24445111000001104,Coal tar solution 10% in Clobetasone 0.05% ointment,Coal tar solution 10% in Clobetasone 0.05% ointment,Ointment,Cutaneous,Clobetasone butyrate/ Coal tar solution,450.000microgram/1.000gram + 100.000mg/1.000gram,13040000,30
10330941000033110,,Coal Tar  Ointment  5 %,,,,,,,100
10331041000033117,,Coal Tar  Ointment  10 %,,,,,,,20
10331241000033113,15223811000001101,Salicylic acid 2% / Sulfur 2% in Aqueous cream,Salicylic acid 2% / Sulfur 2% in Aqueous cream,Cream,Route of administration not applicable,Salicylic acid/ Sulfur,20.000mg/1.000gram + 20.000mg/1.000gram,13060100,90
10643441000033118,17663111000001102,Salicylic acid 10% in Yellow soft paraffin,Salicylic acid 10% in Yellow soft paraffin,Ointment,Route of administration not applicable,Salicylic acid,100.000mg/1.000gram,13070000,80
10714341000033112,24374911000001105,Neutrogena T/Gel 2 in 1 shampoo & conditioner (Johnson & Johnson Ltd),Neutrogena T/Gel 2 in 1 shampoo & conditioner,Not applicable,,,,,20000
10925941000033114,21385711000001106,Salicylic acid 5% in Unguentum M cream (Special Order),Salicylic acid 5% in Unguentum M cream,Cream,,Salicylic acid,50.000mg/1.000gram,,20
11575241000033116,32704111000001106,Coal tar 4% shampoo,Coal tar 4% shampoo,Shampoo,Cutaneous,Coal tar solution,40.000mg/1.000ml,13090000,10000
11575841000033117,32699511000001107,Polytar Scalp shampoo (Thornton & Ross Ltd),Polytar Scalp shampoo,Shampoo,Cutaneous,Coal tar solution,40.000mg/1.000ml,,30000
11661941000033110,22364711000001105,Betamethasone valerate 0.1% ointment 25% in Coal tar paste,Betamethasone valerate 0.1% ointment 25% in Coal tar paste,Ointment,Cutaneous,Betamethasone valerate/ Coal tar solution strong/ Compound zinc paste,250.000microgram/1.000gram + 56.250mg/1.000gram + 693.750mg/1.000gram,13040000,80
12367741000033112,30919711000001105,Coal tar 12% / Salicylic acid 3% in White soft paraffin,Coal tar 12% / Salicylic acid 3% in White soft paraffin,Ointment,Route of administration not applicable,Coal tar/ Salicylic acid,120.000mg/1.000gram + 30.000mg/1.000gram,13050200,20
12583841000033110,35642511000001109,Clobetasol 0.05% ointment 50% / Propylene glycol 48% / Salicylic acid 2% ointment,Clobetasol 0.05% ointment 50% / Propylene glycol 48% / Salicylic acid 2% ointment,Ointment,Route of administration not applicable,Clobetasol propionate/ Propylene glycol/ Salicylic acid,250.000microgram/1.000gram + 480.000mg/1.000gram + 2.000mg/1.000gram,13040000,20
12678041000033111,36242711000001100,Coal tar 2.5% scalp lotion,Coal tar 2.5% scalp lotion,Shampoo,Cutaneous,Coal tar distilled,25.000mg/1.000ml,13090000,2000
13059341000033116,36242811000001108,Coal tar 6% cream,Coal tar 6% cream,Cream,Cutaneous,Coal tar distilled,60.000mg/1.000gram,13050200,1000
13158141000033117,31147511000001109,Salicylic acid 5% / Propylene glycol 47.5% in Clobetasol 0.05% cream,Salicylic acid 5% / Propylene glycol 47.5% in Clobetasol 0.05% cream,Cream,Cutaneous,Clobetasol propionate/ Propylene glycol/ Salicylic acid,237.500microgram/1.000gram + 475.000mg/1.000gram + 50.000mg/1.000gram,,30
13162941000033113,15225111000001109,Salicylic acid 40% in Yellow soft paraffin,Salicylic acid 40% in Yellow soft paraffin,Ointment,Route of administration not applicable,Salicylic acid,400.000mg/1.000gram,13050200,6
13898341000033116,15223511000001104,Salicylic acid 10% in Emulsifying ointment,Salicylic acid 10% in Emulsifying ointment,Ointment,Route of administration not applicable,Salicylic acid,100.000mg/1.000gram,13070000,10
