prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,drugissues
12633441000033112,35775711000001100,Hydrocortisone 2mg granules in capsules for opening,Hydrocortisone 2mg granules in capsules for opening,Granules,Oral,Hydrocortisone,2.000mg,6030200,200
12633541000033113,35776111000001107,Hydrocortisone 5mg granules in capsules for opening,Hydrocortisone 5mg granules in capsules for opening,Granules,Oral,Hydrocortisone,5.000mg,6030200,70
12633641000033114,35699311000001104,Alkindi 0.5mg granules in capsules for opening (Diurnal Ltd),Alkindi 0.5mg granules in capsules for opening,Granules,Oral,Hydrocortisone,500.000microgram,,800
12633741000033117,35700011000001101,Alkindi 1mg granules in capsules for opening (Diurnal Ltd),Alkindi 1mg granules in capsules for opening,Granules,Oral,Hydrocortisone,1.000mg,,800
12633841000033110,35700311000001103,Alkindi 2mg granules in capsules for opening (Diurnal Ltd),Alkindi 2mg granules in capsules for opening,Granules,Oral,Hydrocortisone,2.000mg,,800
12633941000033119,35697611000001104,Alkindi 5mg granules in capsules for opening (Diurnal Ltd),Alkindi 5mg granules in capsules for opening,Granules,Oral,Hydrocortisone,5.000mg,,400
12890041000033114,36595311000001105,Hydrocortisone 10mg soluble tablets sugar free,Hydrocortisone 10mg soluble tablets sugar free,Soluble tablet/,Oral,Hydrocortisone sodium phosphate,10.000mg,6030200,900
13010241000033114,36917711000001106,Hydventia 10mg tablets (OcXia),Hydventia 10mg tablets,Tablet,Oral,Hydrocortisone,10.000mg,,8000
13010341000033116,36917511000001101,Hydventia 20mg tablets (OcXia),Hydventia 20mg tablets,Tablet,Oral,Hydrocortisone,20.000mg,,70
143041000033117,3804311000001103,Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd),Betnelan 500microgram tablets,Tablet,Oral,Betamethasone,500.000microgram,,6000
144641000033113,39697311000001102,Betamethasone 500microgram soluble tablets sugar free,Betamethasone 500microgram soluble tablets sugar free,Soluble tablet/,Oral,Betamethasone sodium phosphate,500.000microgram,6030200,200000
144841000033114,3694811000001103,Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd),Betnesol 500microgram soluble tablets,Soluble tablet/,Oral,Betamethasone sodium phosphate,500.000microgram,,60000
145441000033110,325345003,Betamethasone 500microgram tablets,Betamethasone 500microgram tablets,Tablet,Oral,Betamethasone,500.000microgram,6030200,10000
1470141000033114,,Triamcinolone  Tablets  2 mg,,,,,,,400
1470241000033119,,Triamcinolone  Tablets  4 mg,,,,,,,400
1581041000033119,3960211000001106,Calcort 30mg tablets (Shire Pharmaceuticals Ltd),Calcort 30mg tablets,Tablet,Oral,Deflazacort,30.000mg,,40
1581141000033115,3850711000001101,Calcort 1mg tablets (Shire Pharmaceuticals Ltd),Calcort 1mg tablets,Tablet,Oral,Deflazacort,1.000mg,,100
1601341000033113,325474006,Deflazacort 30mg tablets,Deflazacort 30mg tablets,Tablet,Oral,Deflazacort,30.000mg,6030200,600
1601441000033119,325476008,Deflazacort 1mg tablets,Deflazacort 1mg tablets,Tablet,Oral,Deflazacort,1.000mg,6030200,4000
169341000033114,35912611000001102,Budesonide 3mg gastro-resistant modified-release capsules,Budesonide 3mg gastro-resistant modified-release capsules,Modified-release capsule,Oral,Budesonide,3.000mg,1050200,80000
1718241000033117,3807811000001103,Budenofalk 3mg gastro-resistant capsules (Dr. Falk Pharma UK Ltd),Budenofalk 3mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Budesonide,3.000mg,,10000
1718341000033110,317446001,Budesonide 3mg gastro-resistant capsules,Budesonide 3mg gastro-resistant capsules,Gastro-resistant capsule,Oral,Budesonide,3.000mg,1050200,100000
1830141000033115,8581611000001105,Hydrocortisone 5mg/5ml oral suspension,Hydrocortisone 5mg/5ml oral suspension,Oral suspension,Oral,Hydrocortisone,1.000mg/1.000ml,6030200,10000
210841000033110,3756411000001107,Calcort 6mg tablets (Sanofi),Calcort 6mg tablets,Tablet,Oral,Deflazacort,6.000mg,,3000
2146441000033119,3851611000001100,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Dexsol 2mg/5ml oral solution,Oral solution,Oral,Dexamethasone sodium phosphate,400.000microgram/1.000ml,,1000
2146541000033118,37084211000001103,Dexamethasone 2mg/5ml oral solution sugar free,Dexamethasone 2mg/5ml oral solution sugar free,Oral solution,Oral,Dexamethasone sodium phosphate,400.000microgram/1.000ml,6030200,90000
2149441000033113,8581511000001106,Hydrocortisone 25mg/5ml oral suspension,Hydrocortisone 25mg/5ml oral suspension,Oral suspension,Oral,Hydrocortisone,5.000mg/1.000ml,6030200,700
2372141000033116,,*Cortisone Acetate  Tablets  ,,,,,,,100
2372541000033113,,*Cortisone Acetate  Pills (Sucrose)  ,,,,,,,2
2509341000033118,,*Prednisolone  Tablets  ,,,,,,,70
2509741000033117,,*Prednisolone  Pills (Sucrose)  ,,,,,,,20
2623741000033116,20093511000001108,Hydrocortisone 5mg/5ml oral suspension sugar free,Hydrocortisone 5mg/5ml oral suspension sugar free,Oral suspension,Oral,Hydrocortisone,1.000mg/1.000ml,,3000
336441000033112,3083211000001105,Corlan 2.5mg Pellets (Auden McKenzie (Pharma Division) Ltd),Corlan 2.5mg Pellets,Muco-adhesive buccal tablet,Oromucosal,Hydrocortisone sodium succinate,2.500mg,,200000
369541000033110,,Cortisone Acetate  Tablets  5 mg,,,,,,,2000
371941000033113,325349009,Cortisone 25mg tablets,Cortisone 25mg tablets,Tablet,Oral,Cortisone acetate,25.000mg,6030200,60000
372041000033119,,Cortisone  Tablets  5 mg,,,,,,,1000
372141000033115,,Cortistab  Tablets  25 mg,,,,,,,1000
372241000033110,,Cortistab  Tablets  5 mg,,,,,,,200
372341000033117,,Cortisyl  Tablets  25 mg,,,,,,,3000
375641000033116,,Cortelan  Tablets  25 mg,,,,,,,200
4214041000033115,11880411000001105,Beclometasone 5mg gastro-resistant modified-release tablets,Beclometasone 5mg gastro-resistant modified-release tablets,Modified-release tablet,Oral,Beclometasone dipropionate,5.000mg,1050200,7000
4214141000033116,11835611000001107,Clipper 5mg gastro-resistant modified-release tablets (Chiesi Ltd),Clipper 5mg gastro-resistant modified-release tablets,Modified-release tablet,Oral,Beclometasone dipropionate,5.000mg,,7000
428941000033110,325472005,Deflazacort 6mg tablets,Deflazacort 6mg tablets,Tablet,Oral,Deflazacort,6.000mg,6030200,30000
429141000033119,,Decortisyl  Tablets  5 mg,,,,,,,100
429441000033110,,Deltastab  Tablets  1 mg,,,,,,,100
429541000033111,,Deltastab  Tablets  5 mg,,,,,,,80
429841000033113,,Dexamethasone  Tablets  250 micrograms,,,,,,,300
430841000033118,3286911000001103,Decadron 500microgram tablets (Organon Pharma (UK) Ltd),Decadron 500microgram tablets,Tablet,Oral,Dexamethasone,500.000microgram,,1000
431541000033114,459611000001100,Deltacortril 2.5mg gastro-resistant tablets (Phoenix Labs Ltd),Deltacortril 2.5mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,2.500mg,,90000
431641000033110,331111000001100,Deltacortril 5mg gastro-resistant tablets (Phoenix Labs Ltd),Deltacortril 5mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,5.000mg,,200000
431841000033111,325356003,Dexamethasone 2mg tablets,Dexamethasone 2mg tablets,Tablet,Oral,Dexamethasone,2.000mg,6030200,800000
431941000033115,325355004,Dexamethasone 500microgram tablets,Dexamethasone 500microgram tablets,Tablet,Oral,Dexamethasone,500.000microgram,6030200,300000
521541000033116,3765811000001105,Entocort CR 3mg capsules (Tillotts Pharma UK Ltd),Entocort CR 3mg capsules,Modified-release capsule,Oral,Budesonide,3.000mg,,20000
5506241000033117,376688006,Dexamethasone 4mg tablets,Dexamethasone 4mg tablets,Tablet,Oral,Dexamethasone,4.000mg,6030200,4000
5900641000033111,8452411000001101,Dexamethasone 5mg/5ml oral solution,Dexamethasone 5mg/5ml oral solution,Oral solution,Oral,Dexamethasone,1.000mg/1.000ml,6030200,600
5900741000033119,8452511000001102,Dexamethasone 5mg/5ml oral suspension,Dexamethasone 5mg/5ml oral suspension,Oral suspension,Oral,Dexamethasone,1.000mg/1.000ml,6030200,200
5900841000033112,325365005,Dexamethasone 500micrograms/5ml oral solution,Dexamethasone 500micrograms/5ml oral solution,Oral solution,Oral,Dexamethasone,100.000microgram/1.000ml,6030200,1000
5900941000033116,8452311000001108,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone 500micrograms/5ml oral suspension,Oral suspension,Oral,Dexamethasone,100.000microgram/1.000ml,6030200,100
5990141000033115,17872811000001100,Prednisone 1mg modified-release tablets,Prednisone 1mg modified-release tablets,Modified-release tablet,Oral,Prednisone,1.000mg,6030200,400
5990241000033110,17873211000001107,Prednisone 2mg modified-release tablets,Prednisone 2mg modified-release tablets,Modified-release tablet,Oral,Prednisone,2.000mg,6030200,400
5990341000033117,17873811000001108,Prednisone 5mg modified-release tablets,Prednisone 5mg modified-release tablets,Modified-release tablet,Oral,Prednisone,5.000mg,6030200,2000
5990641000033113,17872911000001105,Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd),Lodotra 1mg modified-release tablets,Modified-release tablet,Oral,Prednisone,1.000mg,,80
5990741000033116,17873311000001104,Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd),Lodotra 2mg modified-release tablets,Modified-release tablet,Oral,Prednisone,2.000mg,,200
5990841000033114,17873911000001103,Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd),Lodotra 5mg modified-release tablets,Modified-release tablet,Oral,Prednisone,5.000mg,,200
6512041000033112,19743911000001108,Budesonide 9mg gastro-resistant granules sachets,Budesonide 9mg gastro-resistant granules sachets,Gastro-resistant granules,Oral,Budesonide,9.000mg,1050200,2000
6512141000033111,19738311000001103,Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd),Budenofalk 9mg gastro-resistant granules sachets,Gastro-resistant granules,Oral,Budesonide,9.000mg,,600
6512741000033110,19792911000001107,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Martapan 2mg/5ml oral solution,Oral solution,Oral,Dexamethasone sodium phosphate,400.000microgram/1.000ml,,40
738041000033118,331164004,Hydrocortisone 2.5mg muco-adhesive buccal tablets sugar free,Hydrocortisone 2.5mg muco-adhesive buccal tablets sugar free,Muco-adhesive buccal tablet,Oromucosal,Hydrocortisone sodium succinate,2.500mg,12030100,300000
740241000033111,8581111000001102,Hydrocortisone 10mg/5ml oral suspension,Hydrocortisone 10mg/5ml oral suspension,Oral suspension,Oral,Hydrocortisone,2.000mg/1.000ml,6030200,6000
742241000033110,325374007,Hydrocortisone 20mg tablets,Hydrocortisone 20mg tablets,Tablet,Oral,Hydrocortisone,20.000mg,6030200,100000
742341000033117,,Hydrocortistab  Tablets  20 mg,,,,,,,100
744541000033116,325373001,Hydrocortisone 10mg tablets,Hydrocortisone 10mg tablets,Tablet,Oral,Hydrocortisone,10.000mg,6030200,2000000
744641000033115,197211000001101,Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortone 10mg tablets,Tablet,Oral,Hydrocortisone,10.000mg,,40000
744741000033112,706611000001109,Hydrocortone 20mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortone 20mg tablets,Tablet,Oral,Hydrocortisone,20.000mg,,6000
8141941000033110,21496411000001103,Hydrocortisone 5mg modified-release tablets,Hydrocortisone 5mg modified-release tablets,Modified-release tablet,Oral,Hydrocortisone,5.000mg,6030200,8000
8142041000033116,21496311000001105,Hydrocortisone 20mg modified-release tablets,Hydrocortisone 20mg modified-release tablets,Modified-release tablet,Oral,Hydrocortisone,20.000mg,6030200,2000
8142141000033117,21494611000001109,Plenadren 5mg modified-release tablets (Takeda UK Ltd),Plenadren 5mg modified-release tablets,Modified-release tablet,Oral,Hydrocortisone,5.000mg,,800
8142241000033112,21494911000001103,Plenadren 20mg modified-release tablets (Takeda UK Ltd),Plenadren 20mg modified-release tablets,Modified-release tablet,Oral,Hydrocortisone,20.000mg,,2000
8494441000033110,32652311000001103,Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd),Dilacort 2.5mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,2.500mg,,30
8494541000033111,32652511000001109,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd),Dilacort 5mg gastro-resistant tablets,Gastro-resistant tablet,Oral,Prednisolone,5.000mg,,50
898441000033115,4052211000001108,Medrone 100mg tablets (Pfizer Ltd),Medrone 100mg tablets,Tablet,Oral,Methylprednisolone,100.000mg,,600
898541000033119,325410005,Methylprednisolone 100mg tablets,Methylprednisolone 100mg tablets,Tablet,Oral,Methylprednisolone,100.000mg,6030200,20000
899641000033110,4051911000001105,Medrone 16mg tablets (Pfizer Ltd),Medrone 16mg tablets,Tablet,Oral,Methylprednisolone,16.000mg,,100
899741000033118,4051211000001101,Medrone 2mg tablets (Pfizer Ltd),Medrone 2mg tablets,Tablet,Oral,Methylprednisolone,2.000mg,,2000
899841000033111,4051611000001104,Medrone 4mg tablets (Pfizer Ltd),Medrone 4mg tablets,Tablet,Oral,Methylprednisolone,4.000mg,,3000
903141000033113,325413007,Methylprednisolone 16mg tablets,Methylprednisolone 16mg tablets,Tablet,Oral,Methylprednisolone,16.000mg,6030200,1000
904141000033111,325411009,Methylprednisolone 2mg tablets,Methylprednisolone 2mg tablets,Tablet,Oral,Methylprednisolone,2.000mg,6030200,5000
904241000033116,325412002,Methylprednisolone 4mg tablets,Methylprednisolone 4mg tablets,Tablet,Oral,Methylprednisolone,4.000mg,6030200,8000
9119141000033118,416533002,Prednisolone 15mg/5ml oral solution,Prednisolone 15mg/5ml oral solution,Oral solution,Oral,Prednisolone,3.000mg/1.000ml,6030200,100
9122441000033114,24350911000001102,Dexamethasone 10mg/5ml oral solution sugar free,Dexamethasone 10mg/5ml oral solution sugar free,Oral solution,Oral,Dexamethasone sodium phosphate,2.000mg/1.000ml,6030200,1000
